,capacity_1,capacity_2,capacity_3,capacity_4
629,3024.0,1790.0,1650.0,1548.0
630,4124.0,2399.0,2025.0,1853.0
631,3544.0,2072.0,1864.0,1659.0
632,3432.0,1976.0,1750.0,1547.0
633,3326.0,1936.0,1662.0,1610.0
634,3334.0,1978.0,1895.0,1676.0
635,3518.0,2056.0,1940.0,1610.0
636,3142.0,1864.0,1693.0,1476.0
637,3518.0,2068.0,1831.0,1609.0
638,3632.0,2065.0,1879.0,1807.0
639,3704.0,2196.0,1979.0,1770.0
640,3388.0,2011.0,1795.0,1634.0
641,3642.0,2113.0,1953.0,1672.0
642,3122.0,1845.0,1631.0,1445.0
643,2764.0,1635.0,1398.0,1268.0
644,3328.0,1919.0,1608.0,1521.0
645,3824.0,2226.0,1953.0,1707.0
646,3520.0,2046.0,1864.0,1691.0
647,3318.0,1930.0,1728.0,1591.0
648,2986.0,1823.0,1661.0,1540.0
649,3358.0,1986.0,1784.0,1553.0
650,3660.0,2195.0,1831.0,1642.0
651,3446.0,2002.0,1723.0,1544.0
652,2750.0,1684.0,1540.0,1422.0
653,3076.0,1823.0,1593.0,1469.0
654,3204.0,1932.0,1778.0,1596.0
655,3638.0,2150.0,1802.0,1710.0
656,3460.0,2010.0,1722.0,1503.0
657,3932.0,2328.0,1894.0,1684.0
658,2906.0,1789.0,1581.0,1483.0
659,2960.0,1766.0,1520.0,1335.0
660,3236.0,1936.0,1735.0,1617.0
661,3838.0,2255.0,1939.0,1738.0
662,3630.0,2081.0,1869.0,1658.0
663,2386.0,1403.0,1227.0,1176.0
664,3696.0,2190.0,1895.0,1663.0
665,3226.0,1858.0,1612.0,1477.0
666,3562.0,2083.0,1788.0,1600.0
667,3794.0,2193.0,1910.0,1755.0
668,3558.0,2100.0,1719.0,1610.0
669,3460.0,2049.0,1863.0,1695.0
670,3464.0,2056.0,1815.0,1664.0
671,3454.0,2068.0,1744.0,1605.0
672,3816.0,2221.0,1885.0,1769.0
673,3842.0,2262.0,1983.0,1827.0
674,3570.0,2064.0,1802.0,1609.0
675,3852.0,2302.0,1885.0,1734.0
676,3516.0,2037.0,1785.0,1686.0
677,3288.0,1967.0,1622.0,1578.0
678,3474.0,2020.0,1829.0,1535.0
679,3188.0,1899.0,1578.0,1532.0
680,3274.0,1945.0,1715.0,1646.0
681,3256.0,1942.0,1707.0,1596.0
682,3448.0,1989.0,1864.0,1683.0
683,3314.0,1949.0,1697.0,1530.0
684,3446.0,2057.0,1807.0,1616.0
685,3812.0,2233.0,1927.0,1705.0
686,3454.0,2012.0,1678.0,1467.0
687,3000.0,1798.0,1556.0,1451.0
688,3196.0,1907.0,1750.0,1544.0
689,3176.0,1882.0,1729.0,1496.0
690,3280.0,1956.0,1673.0,1480.0
691,3328.0,1978.0,1739.0,1534.0
692,3140.0,1905.0,1594.0,1383.0
693,3394.0,2049.0,1810.0,1661.0
694,3410.0,1998.0,1718.0,1536.0
695,2736.0,1685.0,1491.0,1412.0
696,3274.0,1970.0,1750.0,1617.0
697,4240.0,2479.0,2114.0,1993.0
698,3766.0,2208.0,1908.0,1666.0
699,3374.0,2018.0,1764.0,1551.0
700,3290.0,1929.0,1658.0,1448.0
701,3032.0,1718.0,1566.0,1485.0
702,2914.0,1720.0,1542.0,1364.0
703,3574.0,2067.0,1825.0,1576.0
704,3350.0,1986.0,1715.0,1567.0
705,3088.0,1863.0,1626.0,1457.0
706,3776.0,2252.0,1957.0,1699.0
707,2844.0,1635.0,1444.0,1271.0
708,3872.0,2291.0,1971.0,1779.0
709,3422.0,2024.0,1739.0,1568.0
710,3228.0,1914.0,1697.0,1532.0
711,4020.0,2351.0,2106.0,1861.0
712,3388.0,2019.0,1780.0,1566.0
713,3400.0,1960.0,1723.0,1566.0
714,2994.0,1804.0,1467.0,1425.0
715,3280.0,1971.0,1854.0,1664.0
716,2946.0,1784.0,1540.0,1525.0
717,3344.0,1979.0,1723.0,1616.0
718,3538.0,2077.0,1710.0,1542.0
719,2924.0,1747.0,1507.0,1326.0
720,3486.0,2042.0,1766.0,1660.0
721,3240.0,1913.0,1600.0,1434.0
722,3404.0,1974.0,1752.0,1528.0
723,4240.0,2404.0,2012.0,1830.0
724,3076.0,1833.0,1578.0,1462.0
